FaceID,Batch,Shotcrete_Layer,Spray_Time,Air_Temp,Shotcrete_Temp,Shotcrete_Blend,15M_MPa,30M_MPa,60M_MPa,90M_MPa,120M_MPa,150M_Mpa,180M_Mpa,240M_Mpa,270M_Mpa,300M_Mpa
RUP_1100_792_DEC_22,,,18:00:00,,,,,0.55,0.65,,0.85,,,,,
RUP_1025_983_DEC_50,,,14:00:00,,,,,,0.75,,0.8,,,,,
RUP_1025_983_DEC_50,,,21:00:00,,,,,0.65,0.55,,,,,,,
RUP_1025_983_DEC_51,,,23:00:00,,,,,0.65,0.85,,,,,,,
RUP_1025_983_DEC_52,,,19:30:00,,,,,0.68,1.15,,,,,,,
RUP_1025_983_DEC_41,,,,,,,,1.02,1.03,,,,,,,
RUP_1025_983_DEC_42,,,,,,,,0.78,0.98,,,,,,,
RUP_1025_983_DEC_65,,,18:30:00,,,,,,0.8,,,,,,,
RUP_1075_662_DEC_22,,,14:35:00,,,,0.02,0.09,,,,,,,,
RUP_1025_983_DEC_73,,,22:10:00,,,,,,,,,,,,,
RUP_1075_662_DEC_22,,,10:30:00,,,,,0.19,0.22,0.22,0.2,,,,,
RUP_1075_662_DEC_22,,,08:20:00,,,,,0.67,0.75,0.84,,,,,,
RUP_1000_818_DEC_01,,,18:40:00,,,,0.18,0.26,0.32,0.41,0.48,0.52,,,,
RUP_1075_662_DEC_23,,,12:00:00,,,,,0.53,0.85,,,,,,,
RUP_1000_818_DEC_02,,,03:00:00,,,,0.59,1.03,,,,,,,,
RUP_1075_662_DEC_24,,,21:20:00,,,,,0.86,,,,,,,,
RUP_1000_818_DEC_03,,,09:20:00,-2.0,,,0.44,0.55,0.55,0.62,0.73,0.8,,,,
RUP_1000_818_DEC_04,,,10:00:00,,,,,0.58,0.77,0.78,0.89,,,,,
RUP_1075_662_DEC_25,,,04:00:00,,,,0.51,0.82,,,,,,,,
RUP_1075_662_DEC_26,,,03:00:00,,,,0.78,0.88,,,,,,,,
RUP_1000_818_DEC_06,,,02:20:00,,,,0.62,0.79,1.37,,,,,,,
RUP_1075_662_DEC_27,,,20:05:00,,,,0.39,0.69,0.93,1.19,,,,,,
RUP_1075_662_DEC_27,,,20:30:00,,,,0.53,0.67,1,,,,,,,
RUP_1000_818_DEC_07,,,21:45:00,,,,0.35,0.71,0.88,,,,,,,
RUP_1075_662_DEC_27,,,20:35:00,,,,0.58,0.82,0.99,,,,,,,
RUP_1075_662_DEC_27,,,14:00:00,,,,0.48,0.79,1,,,,,,,
RUP_1000_818_DEC_06,,,06:30:00,,,,,,,1.2,,,,,,
RUP_1000_818_DEC_09,,,08:45:00,,,,,,1.11,,,,,,,
RUP_1075_662_DEC_28,1 & 2,,02:30:00,1.0,,,,0.68,0.88,1.21,,,,,,
RUP_1000_818_DEC_10,,,08:25:00,,,,0.35,0.42,0.68,1.03,,,,,,
RUP_1075_662_DEC_29,2 & 3,,22:20:00,-9.0,,,,,,,0.86,1.15,,,,
RUP_1075_662_DEC_30,,,19:00:00,-3.0,,,,,0.7,0.96,1.03,,,,,
RUP_1000_818_DEC_11,,,02:50:00,-9.0,,,,0.33,0.61,0.86,1.03,,,,,
RUP_1000_818_DEC_12,1,,10:00:00,10.0,,,0.31,0.43,0.53,,0.7,,0.87,1.01,,
RUP_1075_662_DEC_28,,,21:20:00,1.0,,,,0.68,0.8,1.21,,,,,,
RUP_1075_662_DEC_29,1,,18:20:00,,,,0.4,0.53,0.82,1.08,,,,,,
RUP_1075_662_DEC_31,1,,02:00:00,2.0,,,,,0.88,0.92,1.04,,,,,
RUP_1075_662_DEC_31,2,,10:15:00,5.0,,,0.21,0.27,0.36,,0.55,,0.8,0.95,,
RUP_1000_818_DEC_13,1,1,17:20:00,4.0,,,,,,,,0.9,,,,
RUP_1000_818_DEC_14,1 & 2,1,01:00:00,,,,,,,,,,,,,
RUP_1075_662_DEC_32,2 & 3,2,05:00:00,,,,,0.38,,,,,1.06,,,
RUP_1075_662_DEC_33,1,1,23:45:00,-3.0,,,,,,,,,0.39,0.43,,
RUP_1075_662_DEC_33,2,1,10:30:00,-3.0,,,,0.52,0.78,0.9,1.01,,,,,
RUP_1075_662_DEC_33,3 & 4,2,04:40:00,-4.0,,,0.22,0.44,,,,,,,,
RUP_1000_818_DEC_15,1,1,07:30:00,-1.0,,,,0.92,1.07,,,,,,,
RUP_1000_449_SUB_01,1,1,11:00:00,-1.0,,,,0.92,1.06,,,,,,,
RUP_1075_662_DEC_34,1,1,01:10:00,-2.0,,,,0.37,0.88,1.01,,,,,,
RUP_1000_818_DEC_15,3 & 4,3,14:45:00,-1.0,,,,0.86,1.04,,,,,,,
RUP_1000_818_DEC_15,3 & 4, ,15:30:00,0.0,,,,0.72,1.05,,,,,,,
RUP_1075_662_DEC_35,1,1,04:30:00,2.0,,,,0.52,,0.84,,0.99,,,,
RUP_1075_662_DEC_35,2 & 3 & 4,2,21:30:00,1.0,,,,0.36,0.6,,0.83,,1.07,,,
RUP_1075_662_DEC_36,1 & 2 & 3 ,1,22:20:00,-1.0,,,,0.33,0.6,0.7,0.81,0.91,1.03,,,
RUP_1000_449_SUB_03,1,1,04:00:00,5.0,,,"0,32","0,53","1,05",,,,,,,
RUP_1000_818_DEC_16,1,1,07:50:00,4.0,,,,,,0.55,,,0.76,1.01,,
RUP_1000_818_DEC_16,2 & 3,2,11:30:00,6.0,,,0.43,,,0.54,,,0.73,0.81,,
RUP_1075_662_DEC_37,1,1,02:30:00,1.0,,,0.8,1.04,,,,,,,,
RUP_1075_662_DEC_37,2 & 3,2,17:00:00,4.0,,,0.41,0.51,,0.63,,0.79,0.95,1.1,,
RUP_1000_449_SUB_04,1,1,19:30:00,4.0,,,,,,,0.54,0.55,0.58,0.67,,
RUP_1000_449_SUB_04,2,2,19:30:00,2.0,,,,,,,,,,1.02,,
RUP_1000_818_DEC_16,1 & 2 & 3 ,2,11:30:00,6.0,,,0.43,,,0.54,,,0.73,0.81,,
RUP_1075_662_DEC_38,1,1,16:00:00,4.0,,,,,0.4,0.53,0.56,,0.75,1.03,,
RUP_1000_818_DEC_17,1 & 2,1,09:00:00,-1.0,,,,,,,0.33,0.52,0.71,1.13,,
RUP_1075_662_DEC_38,2 & 3,2,13:00:00,1.0,,,,0.53,1.11,,,,,,,
RUP_1000_818_DEC_17,3 & 4 $ 5,2,05:50:00,-1.0,,,,0.87,1.08,,,,,,,
RUP_1075_662_DEC_39,1,1,13:15:00,5.0,,,,0.76,1.13,,,,,,,
RUP_1075_662_DEC_39,2 & 3 & 4,2,05:00:00,1.0,,,,,1.03,,,,,,,
RUP_1000_818_DEC_18,1 & 2 & 3 ,1,10:00:00,1.0,,,,0.32,0.75,1.18,,,,,,
RUP_1000_818_DEC_18,4 & 5 & 6,2,03:30:00,3.0,,,,0.4,,0.85,1,,,,,
RUP_1000_818_DEC_19,1 & 2 ,1,15:00:00,5.0,,,0.58,,,,0.78,,1.1,,,
RUP_1075_662_DEC_41,1 & 2,1,21:00:00,5.0,,,,,,,,,0.8,1.09,,
RUP_1000_449_SUB_06,1,1,03:45:00,-1.0,,,,,,0.79,1,,,,,
RUP_1000_818_DEC_19,3 to 7,2,15:30:00,3.0,,,0.46,0.83,,,,,,,,
RUP_1075_662_DEC_42,1,1,06:40:00,3.0,,,0.42,0.58,,0.87,0.95,1.1,,,,
RUP_1075_662_DEC_42,2,2,20:55:00,3.0,,,,,,,0.58,1.11,,,,
RUP_1000_449_SUB_07,1,1,17:25:00,4.0,,,,,,,0.47,,0.75,0.99,,
RUP_1000_818_DEC_20,1,1,05:20:00,3.0,,,,,,0.9,1.06,,,,,
RUP_1075_662_DEC_43,1,1,11:40:00,7.0,,,,0.71,,1.01,,,,,,
RUP_1000_818_DEC_20,2,2,20:10:00,1.0,,,0.58,0.74,1.04,,,,,,,
RUP_1075_662_DEC_43,1 & 2 & 3 ,2,05:55:00,2.0,,,0.72,0.81,0.87,,,,,,,
RUP_1000_818_DEC_21,1,1,10:30:00,5.0,,,,0.33,,0.57,,,0.79,1.03,,
RUP_1075_662_DEC_44,1 & 2 ,1,03:10:00,-3.0,,,,,0.63,0.83,,,,1.08,,
RUP_1000_818_DEC_21,2 & 3 & 4,2,08:15:00,7.0,,,,,,0.88,,,,,,
RUP_1000_818_DEC_22,1,1,22:55:00,-2.0,,,,0.65,,0.88,1,,,,,
RUP_1075_662_DEC_44,1 & 2 & 3 ,2,05:15:00,-2.0,,,,0.71,0.89,,,,,,,
RUP_1000_818_DEC_22,2 & 3 & 4,2,20:45:00,4.0,,,,,,0.51,,0.89,,,,
RUP_1075_662_DEC_45,1,1,00:00:00,4.0,,,,,,,1,,,,,
RUP_1000_818_DEC_23,1,1,12:10:00,7.0,,,,,0.77,1.04,,,,,,
RUP_1000_818_DEC_23,2 & 3 & 4,2,12:30:00,0.0,,,,,0.92,,,,,,,
RUP_1000_818_DEC_24,1,1,19:30:00,0.0,,,,,0.93,1,,,,,,
RUP_1075_662_DEC_47,1,1,12:02:00,1.0,,,,0.39,0.55,,,,,0.71,,
RUP_1000_818_DEC_24,2 & 3 & 4,2,08:45:00,-2.0,,,,0.61,0.8,,,,,,,
RUP_1075_662_DEC_47,2 & 3,2,1900-01-21 00:00:00,-1.0,,,,,0.58,,0.7,,0.8,,,
RUP_1075_662_DEC_48,1,1,18:30:00,-4.0,,,,,0.55,,,,,0.89,,
RUP_1000_818_DEC_25,1 & 2,1,03:50:00,-3.0,,,,,0.66,,0.94,1.02,,,,
RUP_1075_662_DEC_48,2 & 3,2,09:30:00,-3.0,,,,,0.62,0.63,0.7,0.81,,,,
RUP_1000_818_DEC_25,3 & 4,2,16:00:00,-2.0,,,,,0.92,,,,,,,
RUP_1075_662_DEC_49,1,1,07:30:00,0.0,,,,,0.51,0.68,0.74,,1.07,,,
RUP_1075_662_DEC_49,2,2,22:45:00,3.0,,,,0.98,,,,,,,,
RUP_1000_818_DEC_26,1,1,1900-01-18 07:12:00,3.0,,,,,1.02,,,,,,,
RUP_1075_662_DEC_50,1,1,21:05:00,2.0,,,,,0.66,,1.02,,,,,
RUP_1000_818_DEC_26,3 & 4 & 5,2,07:50:00,3.0,,,,,0.82,,,,,,,
RUP_1075_662_DEC_50,2 & 3,2,11:05:00,4.0,,,,0.52,,0.82,,,,,,
RUP_1075_662_DEC_51,1 & 2,1,04:05:00,0.0,,,,,1.07,,,,,,,
RUP_1000_818_DEC_28,2 & 3,2,19:00:00,0.0,,,,,0.88,1.03,,,,,,
RUP_1000_818_DEC_28,4 & 5 & 6,2,05:15:00,-4.0,,,,,0.85,,1,,,,,
RUP_1000_818_DEC_29,2 & 3 & 4 & 5,2,13:00:00,-3.0,,,,0.82,,1.29,,,,,,
RUP_1075_662_DEC_53,4 & 5 & 6,2,12:35:00,,,,,,,,,,1.09,,,
RUP_1000_818_DEC_30,2 & 3,2,06:50:00,-6.0,,,,0.46,,,,1.01,,,,
RUP_1075_662_DEC_54,2 & 3 & 4,2,13:05:00,-2.0,,,,,0.57,,0.81,,1.04,,,
RUP_1000_818_DEC_31,3 & 4 ,2,23:15:00,-2.0,,,,,,1.03,,,,,,
RUP_1075_662_DEC_55,1,1,09:20:00,-3.0,,,,,0.93,,,,,,,
RUP_975_761_SUB_02,2 & 3,2,09:35:00,-1.0,,,,,,0.55,,,1,,,
RUP_1075_662_DEC_55,2 & 3,2,02:20:00,-7.0,,,,0.61,0.74,1.01,,,,,,
RUP_1000_818_DEC_32,1,1,14:30:00,2.0,,,,0.68,,,,,,,,
RUP_1000_818_DEC_32,2 & 3,2,01:05:00,-6.0,,,,,,1.01,,,,,,
RUP_1075_662_DEC_56,1,1,14:30:00,4.0,,,,0.55,,,,,,,,
RUP_1075_662_DEC_56,2&3,2,,1.0,,,,,1.08,,,,,,,
RUP_1075_630_ACC_01,1&2,1,12:10:00,-9.0,,,,0.51,,,,,,,,
RUP_1000_818_DEC_33,4,2,14:55:00,-9.0,,,,0.74,,1.11,,,,,,
RUP_975_761_SUB_03,1&2&3,2,22:45:00,-8.0,,,,0.72,,,1.02,,,,,
RUP_1075_630_ACC_01,3&4&5,2,20:30:00,-10.0,,,,0.75,1.02,,,,,,,
RUP_1075_662_DEC_57,2&3,2,02:45:00,-7.0,,,,,0.85,,1.01,,,,,
RUP_1000_818_DEC_34,2&3&4&5,2,18:30:00,-6.0,,,,,1,,,,,,,
RUP_1075_630_ACC_02,2,1,01:30:00,-9.0,,,,0.56,,,,,,,,
RUP_1075_662_DEC_58,1,1,04:00:00,-9.0,,,,0.57,,,,,,,,
RUP_1075_662_DEC_58,2&3,2,14:00:00,-4.0,,,,,0.87,0.98,,,0.77,0.83,,
RUP_1075_662_DEC_58,4,2,02:30:00,-10.0,,,,,0.72,1.11,,,,,,
RUP_1075_630_ACC_03,3&4,2,08:00:00,-9.0,,,,,0.56,,0.75,,0.9,1.02,,
RUP_1000_818_DEC_35,2&3,2,23:00:00,1.0,,,,,,0.71,1.01,,,,,
RUP_1075_662_DEC_59,2&3,2,21:15:00,-3.0,,,,,1.05,,,,,,,
RUP_1000_818_DEC_36,2&3,2,09:10:00,2.0,,,,,0.58,,0.75,,1,,,
RUP_1000_818_DEC_37,2$3,2,19:30:00,-2.0,,,,,0.89,0.97,1.07,,,,,
RUP_1075_662_DEC_60,2 & 3,2,06:20:00,-3.0,,,,0.64,,,0.83,,0.99,,,
RUP_1075_630_ACC_04,2,2,12:30:00,0.0,,,,,0.75,,0.93,,1.03,,,
RUP_1000_818_DEC_38,2&3,2,19:30:00,1.0,,,,,1.07,,,,,,,
RUP_1075_662_DEC_61,2 & 3 & 4,2,15:30:00,3.0,,,,,,1.16,,,,,,
RUP_1000_818_DEC_39,2,2,01:45:00,2.0,,,,,0.49,,0.72,,0.76,0.76,,
RUP_1000_818_DEC_39,3,2,11:45:00,4.0,,,0.49,0.7,,0.8,,1.09,,,,
RUP_1075_662_DEC_62,2&3,2,04:30:00,2.0,,,,,0.78,,1.06,,,,,
RUP_1000_818_DEC_40,2&3,2,02:05:00,-3.0,,,,,0.9,1.05,,,,,,
RUP_1075_630_ACC_04,3,SANACIJA,17:30:00,1.0,,,,,,0.77,,,0.99,,,
RUP_1075_662_DEC_63,2 & 3,1,05:15:00,-1.0,,,,,1.03,,,,,,,
RUP_1000_818_DEC_41,2 & 3,2,10:15:00,14.0,,,,,0.6,,0.69,,0.76,0.83,,
RUP_1000_818_DEC_41,4,2,02:30:00,-1.0,,,,,0.76,1.04,,,,,,
RUP_1075_662_DEC_64,2 & 3,2,05:20:00,0.0,,,,,0.39,,,,0.95,1.11,,
RUP_1000_818_DEC_42,2 & 3,2,13:00:00,13.0,,,,,,,1.05,,,,,
RUP_1000_818_DEC_43,2&3&4,2,23:50:00,7.0,,,,,1.1,,,,,,,
RUP_1075_662_DEC_65,3&4,2,07:00:00,3.0,,,,0.35,,,,,1.07,,,
RUP_1075_630_ACC_04,8 & 9 ,2,05:05:00,-1.0,,,,,0.62,,0.92,1.06,,,,
RUP_1075_662_DEC_66,2&3,2,19:30:00,-3.0,,,,,0.5,,0.68,,0.87,1.04,,
RUP_1000_818_DEC_44,9 & 10 & 11,2,03:15:00,-2.0,,,,,0.83,,1.04,,,,,
RUP_1075_662_DEC_67,2&3,2,18:15:00,2.0,,,,,0.75,,1.08,,,,,
RUP_1000_818_DEC_44,16&17,2,21:30:00,1.0,,,,,0.98,1.05,,,,,,
RUP_1075_630_ACC_05,3,2,00:50:00,0.0,,,,,0.62,,,,,0.69,,
RUP_1075_630_ACC_05,4,2,11:15:00,0.0,,,,,,,1.04,,,,,
RUP_1075_662_DEC_68,2 & 3,2,03:50:00,1.0,,,,,0.99,,,,,,,
RUP_1075_662_DEC_69,2 & 3,2,11:15:00,2.0,,,,,,0.92,1.01,,,,,
RUP_1000_818_DEC_45,2,2,14:45:00,6.0,,,,,,,1.01,,,,,
RUP_1075_630_ACC_06,2,2,14:30:00,7.0,,,,,1.08,,,,,,,
RUP_1075_662_DEC_70,2,2,15:30:00,8.0,,,,,,,,,1.09,,,
RUP_1000_818_DEC_46,2 & 3,2,01:30:00,-3.0,,,,,0.93,1.03,,,,,,
RUP_1075_662_DEC_71,2 &  3,2,01:30:00,5.0,,,,0.93,1.06,,,,,,,
RUP_1000_818_DEC_47,2 & 3,3,19:00:00,4.0,,,,,1,,,,,,,
RUP_1075_630_ACC_07,2&3,2,07:00:00,8.0,,,,0.64,,1.08,,,,,,
RUP_1075_662_DEC_72,2&3,2,15:20:00,10.0,,,,,,,1.04,,,,,
RUP_1000_818_DEC_48,2&3,2,08:30:00,8.0,,,,0.68,0.85,1,,,,,,
RUP_1075_662_DEC_73,2&3&4,2,09:00:00,0.0,,,,0.79,1.01,,,,,,,
RUP_1075_662_DEC_74,2&3&4,2,18:00:00,0.0,,,,0.86,1.07,,,,,,,
RUP_1000_818_DEC_49,3&4,2,20:00:00,-2.0,,,,,0.55,,0.82,,1.02,,,
RUP_1075_630_ACC_08,3&4,2,23:35:00,-3.0,,,,,,0.52,0.74,,,1.03,,
RUP_1075_662_DEC_75,3 & 4,2,02:20:00,0.0,,,,,0.77,,,0.94,1.02,,,
RUP_1000_818_DEC_49,2&3,2,14:10:00,0.0,,,,0.88,1.02,,,,,,,
RUP_1000_818_DEC_51,2&3&4,2,22:30:00,-3.0,,,,0.99,,,,,,,,
RUP_1075_630_ACC_09,4,2,05:00:00,-3.0,,,,,,0.73,0.75,,,,,
RUP_1050_539_RMP_02,2&3,2,18:20:00,-1.0,,,,1.03,,,,,,,,
RUP_1000_818_DEC_52,2 & 3,2,06:40:00,-3.0,,,,0.84,,,0.97,1.04,,,,
RUP_1050_539_RMP_03,Shotcrete from Trgošped,2,22:55:00,-1.0,,,,1.04,,,,,,,,
RUP_1050_539_RMP_04,1 & 2,1,15:50:00,1.0,,,,0.66,,,0.89,1.03,,,,
RUP_1000_818_DEC_53,3&4&5&6,2,20:00:00,4.0,,,,,0.95,1.1,,,,,,
RUP_1050_539_RMP_05,1 & 2,1,23:50:00,2.0,,,,,0.52,,0.68,,0.8,0.87,,
RUP_1075_630_ACC_09,5,2,04:40:00,2.0,,,,,0.83,1.05,,,,,,
RUP_1050_539_RMP_05,3 & 4,1,08:20:00,4.0,,,,0.66,,1.01,,,,,,
RUP_1075_630_ACC_09,7,2,00:50:00,1.0,,,,0.81,0.99,,,,,,,
RUP_1050_539_RMP_07,1&2,1,21:30:00,1.0,,,,,,1.01,,,,,,
RUP_1000_818_DEC_54,3,3,06:45:00,3.0,,,,,,,,,,1.04,,
RUP_1050_539_RMP_08,1&2,1,11:45:00,3.0,,,,0.53,,1.04,,,,,,
RUP_1050_539_RMP_09,1&2,1,11:05:00,7.0,,,,,1.06,,,,,,,
RUP_1050_539_RMP_09,3,1,22:45:00,5.0,,,,,0.8,,,,0.94,1.03,,
RUP_1000_818_DEC_55,4 & 5,2,01:40:00,2.0,,,,,,,,0.85,,1.0,,
RUP_1000_818_DEC_56,1,1,03:30:00,4.0,,,,,,0.93,1.03,,,,,
RUP_1050_539_RMP_10,2 & 3,2,07:00:00,5.0,,,,,,0.81,,1.16,,,,
RUP_1000_818_DEC_57,3&4&5,2,21:20:00,1.0,,,,1.07,,,,,,,,
RUP_1050_539_RMP_11,2 & 3 & 4,2,05:30:00,-6.0,,,,,,0.8,,,1.1,,,
RUP_1075_630_ACC_09,11&12,2,03:00:00,-2.0,,,,,1.02,,,,,,,
RUP_1100_592_RMP_01,2&3&4,2,21:45:00,5.0,,,,,0.57,,,,1.04,,,
RUP_1050_539_RMP_12,3&4,2,03:30:00,4.0,,,,,0.72,,1.04,,,,,
RUP_1075_630_ACC_09,13&14,2,06:30:00,6.0,,,,,0.73,,0.88,1.03,,,,
RUP_1000_818_DEC_59,1 & 2 ,1,16:00:00,5.0,,,,,,0.46,,0.69,,1.01,,
RUP_1000_818_DEC_60,1&2&3,1,22:15:00,6.0,,,,,0.87,,0.87,,0.88,,,
RUP_1050_539_RMP_13,3,2,23:45:00,2.0,,,,,0.9,,,,1.1,,,
RUP_1000_818_DEC_61,1 & 2,1,17:30:00,1.0,,,,,,,,,1.11,,,
RUP_1050_539_RMP_14,3&4%5,2,04:50:00,-3.0,,,,,,,0.68,,,1.01,,
RUP_1100_592_RMP_02,4&5&6&7&8,2,18:00:00,-1.0,,,,,0.72,,1.04,,,,,
RUP_1050_539_RMP_15,2&3&4,2,01:10:00,-4.0,,,,0.55,,,1,,,,,
RUP_1050_539_RMP_15 - rehabilitation,5 & 6,2,12:20:00,2.0,,,,,0.67,,,1.0,,,,
RUP_1100_592_RMP_03,2,2,07:45:00,2.0,,,,,0.87,,1.11,,,,,
RUP_1050_539_RMP_15 - rehabilitation ,7 & 8,2,08:00:00,2.0,,,,,,0.46,,,,1.0,,
RUP_1000_818_DEC_58 (rehabilitation 445-447 m),2 & 3,2,11:40:00,-1.0,,,,,0.86,1.02,,,,,,
RUP_1100_592_RMP_04,2 & 3  ,2,10:15:00,-1.0,,,,0.85,1,,,,,,,
RUP_1050_539_RMP_16,2 & 3,2,15:00:00,4.0,,,,,,,,0.6,0.8,1.0,,
Rehabilitation on lower decline,1,2,17:00:00,5.0,,,,,0.69,,,0.77,,0.87,,
Rehabilitation on lower decline (447-453 m),2,2,05:00:00,2.0,,,,,0.34,,0.7,,,1.0,,
RUP_1100_592_RMP_05 (Trgošped shotcrete),2,2,15:30:00,7.0,,,,,,,1.05,,,,,
Rehabilitation on lower decline (451-455m),3 & 4,2,07:30:00,1.0,,,,,0.82,,1,,,,,
RUP_1050_539_RMP_17,3 & 4,2,12:45:00,5.0,,,,,,0.84,1.01,,,,,
RUP_1100_592_RMP_06,3 & 4,2,11:00:00,9.0,,,,,0.8,1,,,,,,
RUP_1100_592_RMP_07,5 & 6,2,05:30:00,4.0,,,,,0.5,,0.63,,0.66,0.7,,
RUP_1100_592_RMP_07,7,2,13:00:00,7.0,,,,,0.88,1,,,,,,
RUP_1050_539_RMP_18,2 &3,2,14:00:00,6.0,,,,,0.73,,,0.87,,1.02,,
RUP_1100_592_RMP_08,3,2,,5.0,,,,,,,,,1,,,
RUP_950_DEC_01,1,1,23:15:00,8.0,,,,,,,,0.24,,0.47,,
RUP_950_DEC_01,2,1,12:15:00,6.0,,,,,0.9,1,,,,,,
RUP_1075_630_ACC_10,1&2&3,2,10:30:00,6.0,,,,,0.93,1,,,,,,
RUP_950_DEC_02,1,1,15:10:00,11.0,,,,,,0.76,,,,0.99,,
RUP_1050_MBAY_01,6,2,04:30:00,2.0,,,,,,,0.5,,,1.0,,
RUP_1050_539_RMP_19,3,2,06:10:00,2.0,,,,0.48,,,,,0.82,1.02,,
RUP_950_DEC_03,2 & 3,1,21:00:00,10.0,,,,,,0.65,,,,1.0,,
RUP_1075_630_ACC_11,2,2,00:30:00,5.0,,,,,,,,,1.06,,,
RUP_1100_592_RMP_09,2 & 3 & 4,2,12:30:00,20.0,,,,,,,0.01,,,,,
RUP_950_DEC_04,1 & 2,1,04:30:00,5.0,,,,,1.02,,,,,,,
RUP_1050_MBAY_02,2 & 3,2,10:30:00,8.0,,,,,0.91,1,,,,,,
RUP_1075_630_ACC_12,2 & 3,2,11:30:00,7.0,,,,,0.92,1.02,,,,,,
RUP_1050_MBAY_03,1 & 2,1,21:30:00,7.0,,,,,0.44,,0.5,,,0.63,,
RUP_1050_MBAY_03,3,2,05:00:00,7.0,,,,,0.5,,,,,1.05,,
RUP_1075_630_ACC_13,2 & 3,2,14:45:00,8.0,,,,,0.74,,0.88,,1,,,
RUP_950_DEC_05,1 & 2,1,20:30:00,6.0,,,,,,,1.01,,,,,
RUP_1050_MBAY_04,1 & 2,1,05:00:00,1.0,,,,,1.05,,,,,,,
RUP_1050_MBAY_04,3,2,1900-01-11 07:12:00,9.0,,,,,,0.88,1.02,,,,,
RUP_1075_630_ACC_14,1,1,15:45:00,9.0,,,,,0.71,,0.85,,1.01,,,
RUP_1075_630_ACC_14,2,2,0.21875,-1.0,,,,,0.95,,,,,,,
RUP_1050_539_RMP_20,3,2,14:30:00,13.0,,,,,0.9,,,1.03,,,,
RUP_950_DEC_06,2,1,18:30:00,7.0,,,,,0.83,1.03,,,,,,
RUP_1050_MBAY_05,1 & 2 & 3,2,06:15:00,5.0,,,,,0.65,,,1.14,,,,
RUP_1075_630_ACC_15,2 & 3,2,02:25:00,4.0,,,,,0.71,,0.8,1.0,,,,
RUP_1050_539_RMP_21,1,1,06:45:00,3.0,,,0.52,,,,,1.11,,,,
RUP_1075_630_ACC_15,4,2,17:30:00,13.0,,,,,0.56,,,,0.87,1.04,,
RUP_1050_MBAY_06,2 & 3,1,21:00:00,8.0,,,,0.63,,,,,,,,
RUP_1050_539_RMP_21,2 & 3,2,00:00:00,7.0,,,,,0.83,,1,,,,,
RUP_1075_630_ACC_15,5 & 6,3,15:40:00,6.0,,,,1.2,,,,,,,,
RUP_1100_592_RMP_10,3&4&5,1,20:30:00,8.0,,,,,1.05,,,,,,,
RUP_1075_630_ACC_16,1 & 2,1,15:45:00,16.0,,,,,,,,0.75,,1.0,,
RUP_1075_630_ACC_16,3 & 4 & 5,2,21:30:00,16.0,,,,,1,,,,,,,
RUP_1075_630_ACC_17,1,1,18:15:00,8.0,,,,,,0.54,,,1,,,
RUP_1075_630_ACC_17,2 & 4,2,19:30:00,7.0,,,,,1.01,,,,,,,
RUP_1100_592_RMP_11,1 & 2,1,02:00:00,6.0,,,,0.66,,1.02,,,,,,
